DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2008,ES,1,ES51,1,796,1,2872.83949,1,3,1
2008,ES,2,ES52,1,75,1,1152.62149,1,2,1
2008,ES,10,ES11,1,1264,1,2584.44520,1,1,1
2008,ES,11,ES13,1,1526,1,130.44294,1,1,1
2008,ES,14,ES13,1,1570,1,484.49634,1,3,1
2008,ES,17,ES11,1,602,1,680.33053,1,2,1
2008,ES,23,ES51,1,1649,1,2208.50289,1,2,1
2008,ES,28,ES52,1,1736,1,6555.69097,1,2,1
2008,ES,30,ES43,1,138,1,2278.25461,1,3,1
2008,ES,31,ES21,1,1865,1,1872.47663,1,1,1
2008,ES,39,ES30,1,978,1,1833.32781,1,1,1
2008,ES,40,ES30,1,1064,1,846.30333,1,1,1
2008,ES,46,ES52,1,61,1,904.72995,1,2,1
2008,ES,48,ES41,1,770,1,1880.37398,1,3,1
2008,ES,51,ES62,1,1132,1,357.18697,1,2,1
2008,ES,53,ES52,1,38,1,1444.29260,1,3,1
2008,ES,59,ES30,1,981,1,2073.68529,1,1,1
2008,ES,62,ES21,1,1837,1,1267.29056,1,1,1
2008,ES,64,ES21,1,1867,1,437.34043,1,1,1
2008,ES,68,ES52,1,1719,1,2163.34116,1,1,1
2008,ES,69,ES63,1,1981,1,295.47466,1,1,1
2008,ES,72,ES22,1,1241,1,530.58646,1,2,1
2008,ES,75,ES42,1,33,1,855.86425,1,3,1
2008,ES,80,ES53,1,249,1,7042.66193,1,1,1
2008,ES,87,ES61,1,1640,1,1097.17534,1,1,1
2008,ES,89,ES42,1,531,1,1643.91136,1,3,1
2008,ES,92,ES51,1,335,1,3317.02069,1,1,1
2008,ES,94,ES22,1,1218,1,309.58245,1,1,1
2008,ES,96,ES21,1,1865,1,2159.10592,1,1,1
2008,ES,102,ES42,1,530,1,620.26776,1,3,1
2008,ES,111,ES42,1,526,1,1247.43359,1,3,1
2008,ES,113,ES12,1,1289,1,1046.81939,1,1,1
2008,ES,114,ES51,1,1663,1,1563.22160,1,3,1
2008,ES,118,ES51,1,275,1,1713.26285,1,1,1
2008,ES,125,ES11,1,579,1,603.07063,1,1,1
2008,ES,131,ES61,1,673,1,1026.39880,1,2,1
2008,ES,132,ES61,1,1094,1,1805.30904,1,1,1
2008,ES,136,ES21,1,694,1,728.51658,1,1,1
2008,ES,138,ES61,1,1635,1,4673.12108,1,1,1
2008,ES,144,ES70,1,1381,1,710.64150,1,1,1
2008,ES,148,ES61,1,470,1,2161.52622,1,1,1
2008,ES,150,ES21,1,704,1,847.62634,1,1,1
2008,ES,154,ES52,1,1735,1,2156.25386,1,1,1
2008,ES,162,ES11,1,608,1,874.11328,1,2,1
2008,ES,164,ES41,1,116,1,1327.41257,1,3,1
2008,ES,166,ES51,1,644,1,981.02101,1,3,1
2008,ES,168,ES61,1,1643,1,1299.40759,1,1,1
2008,ES,169,ES30,1,907,1,1040.82941,1,1,1
2008,ES,171,ES51,1,255,1,2163.38888,1,1,1
2008,ES,174,ES41,1,766,1,914.87866,1,3,1
2008,ES,175,ES41,1,1461,1,599.45057,1,3,1
2008,ES,176,ES52,1,1748,1,1213.32801,1,1,1
2008,ES,180,ES21,1,1882,1,2015.80685,1,1,1
2008,ES,181,ES61,1,483,1,1002.65277,1,2,1
2008,ES,183,ES51,1,407,1,1287.83388,1,1,1
2008,ES,186,ES53,1,178,1,664.77850,1,2,1
2008,ES,187,ES21,1,1867,1,730.76728,1,1,1
2008,ES,192,ES63,1,1978,1,33.84843,1,1,1
2008,ES,193,ES12,1,1346,1,261.69807,1,2,1
2008,ES,195,ES12,1,1291,1,863.04774,1,1,1
2008,ES,209,ES21,1,1868,1,613.01599,1,3,1
2008,ES,215,ES30,1,945,1,928.48641,1,1,1
2008,ES,216,ES42,1,538,1,1043.20434,1,3,1
2008,ES,220,ES62,1,1183,1,273.83153,1,2,1
