RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2012,ES,201,1415.85135,1,6,1,1930,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,202,1415.85135,1,12,1,1955,1,1,1,1,1,4,1, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2012,ES,1101,602.00853,1,4,1,1977,1,1,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,1401,914.14345,1,2,1,1937,1,2,1,1,1,3,1, ,-2, ,-2,1402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,1402,914.14345,1,7,1,1936,1,1,1,1,1,3,1, ,-2, ,-2,1401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,1701,2404.62373,1,9,1,1945,1,1,1,1,1,3,1, ,-2, ,-2,1702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,1702,2404.62373,1,3,1,1946,1,2,1,1,1,3,1, ,-2, ,-2,1701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,2301,3392.88093,1,9,1,1975,1,2,1,1,1,1,1, ,-2, ,-2,2302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,2302,3392.88093,1,2,1,1969,1,1,1,2,1,1,1, ,-2, ,-2,2301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,2801,1391.64550,1,6,1,1939,1,1,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,3001,524.79285,1,1,1,1945,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,3002,524.79285,1,9,1,1972,1,1,1,1,1,1,1, ,-2,3001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,3101,180.15611,1,2,1,1945,1,1,1,1,1,3,1, ,-2, ,-2,3102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,3102,180.15611,1,6,1,1950,1,2,1,1,1,4,1, ,-2, ,-2,3101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2012,ES,3201,1202.63025,1,4,1,1954,1,1,1,1,1,2,1, ,-2, ,-2,3202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,3202,1202.63025,1,9,1,1956,1,2,1,1,1,4,1, ,-2, ,-2,3201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,3203,1202.63025,1,10,1,1990,1,2,1,1,1,1,1,3201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,3901,1527.66680,1,8,1,1979,1,1,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,4601,1282.55240,1,4,1,1980,1,1,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2012,ES,4801,456.51596,1,1,1,1932,1,1,1,1,1,3,1, ,-2, ,-2,4802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2012,ES,4802,456.51596,1,9,1,1935,1,2,1,1,1,4,1, ,-2, ,-2,4801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
